Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.0356231641912014,0.116102496743018,9.80500928933761E-08,0,0,0,14.2430877452663,0.490511050948444,-0.0515090377060454,4.23720756747739E-08,1.36650045731287,1.9746618765378E-09,0.971942301144948,0,0,0,0,0,0,package://Model/meshes/base_link.STL,0.894117647058823,0.913725490196078,0.929411764705882,1,0,0,0,0,0,0,package://Model/meshes/base_link.STL,,Base-1;Side-2;New Cover-1;lower end-2;Side-1;Base supportt-1;lower end-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Right_wheel,0,0.0225,1.0578E-05,0,0,0,0.49011,0.00083492,1.158E-24,-1.2989E-24,0.001562,-6.0756E-20,0.00083497,0,0,0,0,0,0,package://Model/meshes/Right_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Model/meshes/Right_wheel.STL,,Normal Wheel-1,Origin_RWheel_joint,,RWheel_joint,continuous,0,-0.2215,0.055,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
Left_wheel,-6.9389E-18,0.0225,1.0578E-05,0,0,0,0.49011,0.00083492,-1.0588E-23,-1.7579E-23,0.001562,5.7749E-20,0.00083497,0,0,0,0,0,0,package://Model/meshes/Left_wheel.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Model/meshes/Left_wheel.STL,,Normal Wheel-2,Origin_LWheel_joint,,LWheel_joint,continuous,0,0.2665,0.055,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
FR_Caster,-0.0033782,-0.032481,-1.3245E-09,0,0,0,0.18385,0.00019043,-1.8987E-05,1.2958E-12,0.00013092,-2.3136E-12,0.00021915,0,0,0,0,0,0,package://Model/meshes/FR_Caster.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Model/meshes/FR_Caster.STL,,Dummy Roller 2 inch-2,Origin_FRC_joint,,FRC_joint,fixed,0.32,-0.1975,0.07,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
FL_Caster,-0.0033782,-0.032481,-1.3245E-09,0,0,0,0.18385,0.00019043,-1.8987E-05,1.2958E-12,0.00013092,-2.3136E-12,0.00021915,0,0,0,0,0,0,package://Model/meshes/FL_Caster.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Model/meshes/FL_Caster.STL,,Dummy Roller 2 inch-1,Origin_FLC_joint,,FLC_joint,fixed,0.32,0.1975,0.07,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
RR_Caster,-0.0033782,-0.032481,-1.3245E-09,0,0,0,0.18385,0.00019043,-1.8987E-05,1.2958E-12,0.00013092,-2.3136E-12,0.00021915,0,0,0,0,0,0,package://Model/meshes/RR_Caster.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Model/meshes/RR_Caster.STL,,Dummy Roller 2 inch-3,Origin_RRC_joint,,RRC_joint,fixed,-0.32,-0.1975,0.07,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
RL_Caster,-0.0033782,-0.032481,-1.3245E-09,0,0,0,0.18385,0.00019043,-1.8987E-05,1.2958E-12,0.00013092,-2.3136E-12,0.00021915,0,0,0,0,0,0,package://Model/meshes/RL_Caster.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Model/meshes/RL_Caster.STL,,Dummy Roller 2 inch-4,Origin_RLC_joint,,RLC_joint,fixed,-0.32,0.1975,0.07,1.5708,0,0,base_link,0,0,0,,,,,,,,,,,,
